Search,Search Count,Last Search Date
"ext:ahk limit:1",1,132978558816528209
"rescu",1,132978542214772605
"ext:sql socken",1,132977840102388827
"353930385F32303330343230393630",1,132977683034192073
"\runconf ext:xml",1,132975033689596479
"json ext:ps1",1,132974493681175216
"ext:sqlnb",1,132972517821160844
"union ext:ps1",1,132969402825163021
"menu",1,132969379373322597
"nuget",1,132969377559245935
"'C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\.git\modules\consoles\modules\db\modules\'",1,132967429651075999
"sp13",1,132966407499695325
"casls",1,132966407302011697
"ext:psd1 content:""NestedModules = @('""",1,132960555560915048
"ext:psd1",1,132960554218379161
".git/ content:3eccb07",1,132959864790049615
"ext:pst",1,132956075989868220
"path:scriptBrowser\ ext:dll",1,132942254091916901
"path:Browser\ ext:dll",1,132942253972586086
"scriptbr",1,132942253434150424
"System.Windows.Interactivity.dll",1,132942242547977058
"ditto exe",1,132942199315363455
"System.Data.SQLite.dll",1,132937243229140914
"bookmarks",1,132931142818066631
"ext:code-workspace",1,132930992568436915
"ini ext:ps1",1,132930156306698511
"wildcards:child:*.ahk \data\",1,132925977016809265
"dataSources ext:xml;~xml",1,132925919956920903
"repository",1,132925061456576365
"ext:dll SQLite",1,132925029671058356
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\ dir: empty:",1,132924653457810430
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\ ",1,132924647681214537
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\ ext:sql",1,132924646913235854
"path:ext:csv !\oneDrive !\program !\portable !\windows !\appdata !\arcgis !\$",1,132923464019076032
"path:ext:csv !\oneDrive !\program !\portable !\windows !\appdata !\arcgis",1,132923462435435583
"path:ext:csv !\oneDrive !\program",1,132923461552726675
"path:ext:csv !\oneDrive",1,132923461206946654
"path:ext:docx !\oneDrive",1,132923458912959142
"ext:doc",1,132923457295911429
"<wholefilename:child:.git file:>|<wholefilename:child:.git folder:> !C:\users\Crbk01\AppData\Local\Temp",1,132914860095133129
"child:<wholefilename:.git file:>|<wholefilename:.git folder:> !C:\users\Crbk01\AppData\Local\Temp",1,132914859730329400
"wholefilename:.git !C:\users\Crbk01\AppData\Local\Temp",1,132914858462511100
"child:.git !C:\users\Crbk01\AppData\Local\Temp",1,132914857159622907
"wildcards:child:.git",1,132914852052974227
"<wildcards:*.git>",1,132914849691707725
"<child:.git>",1,132914849187546137
"lazy.log datecreated:today",1,132914846202745425
"every",1,132914843535106903
"child"".git""",1,132914841808490351
"ext:log",1,132914779798265408
"session",1,132778956106783157
"bcompare",1,132778955115194862
"""C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\"" ext:xml content:947f2b47-af0c-4354-9696-9462b1a4bf8b ",1,132778950796982632
"""C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\default\.idea\"" !\.git content:5b682ee5-608b-4b16-bdfd-1132a4a5566f",1,132778922951083057
"""C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\default\.idea\"" ",1,132778922067383282
"""C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Geosecma-Solen-Visoin-Vyer\.idea\dataSources\"" ",1,132778916066565213
"utsökning dir:",1,132775665222291976
"fnr dir:",1,132775664457429575
"fil-  dir:",1,132775663357002163
"utsökning  dir:",1,132775661614417930
"harAns  dir:",1,132775660774276972
"sol-v  dir:",1,132775659173618889
"sol  dir:",1,132775658107618020
"livsmedel  dir:",1,132775651024875669
"visionH-nd dir:",1,132775646225010085
"fnrToAdress dir:",1,132775637112916280
"D:\ dataSources dir:",1,132775500425833511
"""D:\Users\crbk01\"" dir:",1,132774015577493508
"""D:\Users\crbk01\"" ",1,132774015431537783
"""C:\Users\crbk01\.DataGrip2019.3\config\"" ",1,132773991360067722
"ahk",1,132773824645994991
"history !\tortoiseGit !dir:",1,132772180792255380
"history !\tortoiseGit",1,132772180376253318
"histo",1,132772180044111078
"!\$ !\games\ !""C:\Users\crbk01\Desktop\OnGithub""",1,132772075739748241
"!\$ !\games\ ",1,132772074300379963
"!\$ !\games\",1,132772072970096385
"!thumb",1,132772062916692631
" ",1,132772045299104917
".",1,132772045201576207
"path:""\shell\""",1,132769521444144839
"path:/PSreadline/ !git:",1,132769496323079077
"path:/PSreadline/ !gito:",1,132769494605631520
"config",1,132766038314053236
"folder: ""C:\windows.old"" ",1,132765941333696596
"folder: ""D:\Users\crbk01\AppData\Roaming\"" ",1,132765931461409972
"""C:\Users\crbk01\AppData\Roaming\"" ",1,132765917576596452
"datagrip20",1,132765148428491020
"book",1,132761671913314372
"ext:ahk",1,132761660479192671
"""C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Kv-FlaggGenerering\""",1,132759971646061786
"""C:\Users\crbk01\AppData\Roaming\JetBrains""  content:gisdb01",1,132757569694675507
"""C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\"" cont",1,132757567753355873
"""C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\""",1,132757565547281536
"path:default",1,132757558284538318
"default",1,132757557915807895
"everything",1,132755806073221027
"wholefilename:config",1,132755802546471643
"config ext:",1,132755801761862220
"size:41bite",1,132755775533327799
"""C:\Users\crbk01\OneDrive - Region Gotland\Games\Nexus Mod Manager"" parents:5",1,132754952661253950
"""C:\Users\crbk01\AppData\Local\Microsoft\Outlook"" parents:6",1,132754939361924598
"""C:\Users\crbk01\Documents\Microsoft VS Code"" parents:4",1,132754936283825673
"""C:\Users\crbk01\AppData\Local\Microsoft\VisualStudio\SettingsLogs"" parents:7",1,132754935242621025
"C:\Users\crbk01\.DataGrip2019.3 parents:3",1,132754932661006085
"C:\Users\crbk01\.vscode",1,132754931818112081
"C:\ ""\Program Files\Microsoft SQL Server\130\Setup Bootstrap"" folder: parents:4",1,132754920946001040
"C:\ ""\Program Files\Microsoft SQL Server\130\Setup Bootstrap"" folder: parents:5",1,132754920774400833
"C:\ ""C:\Program Files\Microsoft SQL Server\MSSQL13.SQLEXPRESS\MSSQL\DATA"" folder: parents:5",1,132754918936968808
"C:\ ""C:\Program Files\Microsoft SQL Server\MSSQL13.SQLEXPRESS\MSSQL\DATA"" folder: parents:6",1,132754918866324093
"D:\ ""\Users\crbk01\AppData\Roaming\Code\CachedExtensionVSIXs"" folder: parents:6",1,132754918037986717
"c:\ ""\Users\crbk01\AppData\Roaming\Code\CachedExtensionVSIXs"" folder: parents:6",1,132754917484636470
"c:\ ""\Users\crbk01\AppData\Local\Microsoft\"" folder: parents:6",1,132754916409039821
"""D:\Users\crbk01\AppData\Local\Microsoft\"" folder: parents:6",1,132754913765196542
"""C:\Users\crbk01\AppData\Local\Microsoft\"" folder: parents:6",1,132754911828157003
"ext:ps1 link",1,132754879558348424
"ext:ps1",1,132754878926659661
"""C:\Users\crbk01\AppData\Local\Packages"" ",1,132754871831783131
"""C:\Users\crbk01\AppData\Local\Packages\"" dir:",1,132754870807915397
"size:>10mb",1,132754863908664026
"""C:\Users\crbk01\OneDrive - Region Gotland\Documents\"" size:<4,4gb",1,132754860913304311
"""C:\Users\crbk01\OneDrive - Region Gotland\Documents\Videos""",1,132754852706457670
