Search,Search Count,Last Search Date
"!D: !E:\$ !C:\$  < bak | ~ | ""("" > !attribute:L !E:\SteamLibrary\Modding\VortexDownload\",1,132575647133184626
"!D: !E:\$ !C:\$  < bak | ~ | ""("" > !attribute:L !E:\mod",1,132575646847070619
"!D: !E:\$ !C:\$  < bak | ~ | ""("" > !attribute:L",1,132575646238165929
"!D: !E:\$ !C:\$ bak | ~ | ""("" !attribute:L",1,132575643129754096
"!D: !E:\$ !C:\$ bak | ~ | ""(",1,132575642096258590
"C:\ProgramData\Microsoft\Windows\Start Menu\SearchedExecutables\ ""(""",1,132575641037746606
"""C:\ProgramData\Microsoft\Windows\Start Menu\SearchedExecutables\"" ",1,132575638500036722
"C: !C:\Windows\ !ext:msi !ext:msp exe: !attrib:L !C:\$",1,132575637372118757
"!parent:c:\windows\ * !parent:c:\windows\system32 * !ext:msi !ext:msp",1,132575624717146126
"""E:\ToDatabase\"" ",1,132574794269165077
"empty:",1,132571111267204382
"sizedupe: !(dmdupe:) !(attrib:L) !(namepartdupe:) size:..huge (!folder: )",1,132571094957054434
"sizedupe: !(dmdupe:) !(attrib:L) !(namepartdupe:) size:huge..gigantic (!folder: )",1,132571087024159197
"folder:wildcards:sizedupe: !(dmdupe:) !(attrib:L) !(namepartdupe:) size:huge..gigantic ",1,132571083192199974
"folder:wildcards:sizedupe: !(dmdupe:) !(attrib:L) size:huge..gigantic ",1,132571078112619819
"folder:wildcards:sizedupe: !(dmdupe:) !(namepartdupe:) size:huge..gigantic ",1,132571075880083762
"folder:wildcards:sizedupe: (dmdupe:) size:huge..gigantic ",1,132571074923658018
"!(infolder:E:\$RECYCLE*) !(infolder:C:\$RECYCLE*) size:huge..gigantic ",1,132571073994993362
"!(infolder:E:\*RECYCLE*) !(infolder:C:\*RECYCLE*) size:huge..gigantic ",1,132571073728124531
"wildcards:sizedupe:!(dmdupe:)!(infolder:*RECYCLE*) size:huge..gigantic ",1,132571069792068272
"sizedupe:!(dmdupe:)!(infolder:E:\$RECYCLE.BIN) size:huge..gigantic ",1,132571069158805648
"sizedupe:!(dmdupe:)!(infolder:E:\$RECYCLE.BIN\) size:huge..gigantic ",1,132571069045752629
"sizedupe:!(dmdupe:)!(infolder:*RECYCLE*) size:huge..gigantic ",1,132571068786310828
"sizedupe:!(dmdupe:)!(*RECYCLE*) size:huge..gigantic ",1,132571068371357481
"sizedupe:!(dmdupe:)!(parent:*RECYCLE*) size:huge..gigantic ",1,132571068096319495
"sizedupe:!(dmdupe:)!(parent:E:\$RECYCLE.BIN) size:huge..gigantic ",1,132571067946329079
"sizedupe:!(dmdupe:)!(parent:c:\recycl) size:huge..gigantic ",1,132571067679001107
"sizedupe:!(dmdupe:) size:huge..gigantic ",1,132571065552117683
"nutaku",1,132571044584774223
"Sacred Sword Princesses",1,132571043657843620
"sizedupe:size:large..gigantic",1,132571026615046315
" dupe:",1,132570955708586846
"E:\$RECYCLE.BIN",1,132570952094187771
"nocase:empty:",1,132570951788185554
"parent:E:\PortableApps\",1,132570950369376950
"parent:E:\PortableApps\ *.exe",1,132570950163699811
"parent:""E:\PortableApps\*"" *.exe",1,132570950058982926
"parent:""E:\PortableApps"" ",1,132570949851234335
"parent:E:\",1,132570949680912890
